All_Poverty,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,falling,rising,stable,M_poverty_frac,F_poverty_frac,All_poverty_frac,M_with_frac,F_with_frac,All_with_frac,M_without_frac,F_without_frac,All_without_frac
15597,7932,7665,35578.0,37724.0,24111.0,32750.0,42075.0,31597.0,25756,5905,27121,4688,52877,10593,73.7,70.0,56.0,53.0,0.0,0.0,1.0,25052.904203910177,24096.95369235122,24573.814400504176,81349.29408420454,85262.03275802445,83310.2253032929,18650.705915795457,14737.96724197554,16689.774696707103
1800265,823612,976653,56196.0,62124.0,40665.0,46394.0,66356.0,45320.0,3904322,997326,4230137,837175,8134459,1834501,39.9,3701.0,31.1,2876.0,1.0,0.0,0.0,16802.75695031549,19273.59120575169,18058.704217892337,79653.2513146599,83478.91347523105,81597.8697878214,20346.748685340113,16521.08652476895,18402.130212178603
33968,15721,18247,45073.0,45095.0,35661.0,33516.0,53889.0,39124.0,57486,14771,62076,10344,119562,25115,51.8,76.0,37.0,53.0,0.0,0.0,1.0,21757.06159956821,25196.07843137255,23478.507295561838,79557.68991239603,85716.65285832643,82640.64087588213,20442.310087603968,14283.347141673572,17359.359124117862
17527,8215,9312,42980.0,44531.0,19323.0,30598.0,49500.0,35090.0,35930,7213,38036,5443,73966,12656,52.2,62.0,42.1,51.0,0.0,0.0,1.0,19041.327677722922,21417.235906989583,20233.889773960425,83281.18118814177,87481.3128176821,85389.3929948512,16718.818811858237,12518.6871823179,14610.607005148808
67417,32269,35148,42462.0,45504.0,32605.0,35347.0,50354.0,37404.0,106738,23878,112633,17643,219371,41521,56.9,120.0,41.1,85.0,1.0,0.0,0.0,24705.242849268085,26979.643219011945,25840.961010686413,81718.93183070986,86457.21391507261,84084.98535792589,18281.06816929013,13542.786084927386,15915.014642074115
69475,31992,37483,58783.0,59228.0,59634.0,58361.0,68208.0,48236.0,160439,42733,173038,33794,333477,76527,42.6,163.0,31.7,121.0,0.0,0.0,1.0,15746.264249010692,18122.437533843895,16944.95663456942,78967.08207823912,83661.13560764292,81335.06014575467,21032.917921760873,16338.864392357083,18664.939854245324
14020,6923,7097,71379.0,72220.0,73003.0,50369.0,99486.0,52459.0,59832,8787,62340,7435,122172,16222,53.3,92.0,40.6,70.0,1.0,0.0,0.0,10089.042393506172,10171.26477964887,10130.496986863593,87194.5088095134,89344.3210318882,88278.39357197567,12805.4911904866,10655.678968111788,11721.606428024337
395483,182267,213216,76509.0,79914.0,66555.0,55123.0,80739.0,56510.0,1292176,237090,1361429,208099,2653605,445189,44.1,1326.0,32.6,979.0,1.0,0.0,0.0,11918.593625961736,13584.721011667203,12762.48114589095,84496.48393412265,86741.30056934313,85633.4754746524,15503.516065877357,13258.69943065686,14366.524525347604
32427,15480,16947,73948.0,73888.0,85580.0,60563.0,102714.0,54294.0,158349,18543,172630,13950,330979,32493,49.6,222.0,34.3,154.0,0.0,0.0,1.0,8751.1023675463,9082.96709186408,8921.457498789454,89517.33260972798,92523.31439596956,91060.38429370076,10482.66739027203,7476.685604030443,8939.615706299248
379985,175705,204280,56603.0,58994.0,52127.0,46960.0,71601.0,48510.0,916746,207979,974823,175978,1891569,383957,47.2,1031.0,37.1,808.0,0.0,0.0,1.0,15622.040943341706,17751.11422391882,16698.776458717675,81508.4576229745,84708.21627718433,83126.67049288824,18491.542377025493,15291.783722815675,16873.32950711176
262251,122854,139397,55987.0,60420.0,38792.0,48547.0,61374.0,45042.0,607503,96682,666343,79357,1273846,176039,56.9,793.0,42.6,595.0,0.0,0.0,1.0,17446.267671137557,18693.44240311117,18087.710404618298,86270.36929216044,89358.05283626122,87858.41635715937,13729.63070783956,10641.947163738769,12141.58364284064
6202,2722,3480,71077.0,71115.0,75972.0,63750.0,92727.0,59295.0,24382,4284,25574,3155,49956,7439,40.2,18.0,29.9,15.0,0.0,0.0,1.0,9495.569664410801,12113.195725573463,10805.819322240613,85055.4664061955,89018.06536948727,87038.94067427477,14944.533593804506,10981.934630512722,12961.059325725239
397766,178898,218868,53433.0,55421.0,40705.0,41581.0,72134.0,49633.0,825890,177988,886691,159538,1712581,337526,49.5,807.0,39.0,625.0,1.0,0.0,0.0,17820.691358910146,20919.70304780311,19402.206811644464,82269.95710634161,84751.13956887068,83536.1764044511,17730.042893658392,15248.860431129322,16463.823595548914
454876,210952,243924,64309.0,65480.0,50227.0,56297.0,81673.0,47896.0,1301142,234576,1380888,206949,2682030,441525,49.0,1485.0,36.0,1097.0,1.0,0.0,0.0,13736.376079462507,15362.03023358191,14562.765822916515,84725.32066434072,86966.60929301937,85864.66382055062,15274.67933565928,13033.390706980626,14135.33617944938
